2023-02-12 19:26:57 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:57 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:57 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:57 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:58 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:58 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:58 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:58 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:26:59 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:26:59 ERROR TelegramMessageHandlerImpl:48 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:29:48 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:29:48 ERROR TelegramMessageHandlerImpl:55 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:29:48 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:44 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:44 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:31:47 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:47 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:31:50 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:50 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:31:54 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:54 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:31:56 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:56 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:31:58 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:58 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:31:59 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:31:59 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:33:54 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:33:54 ERROR TelegramMessageHandlerImpl:57 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:46:27 ERROR TelegramMessageHandlerImpl:67 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 19:47:02 ERROR TelegramMessageHandlerImpl:67 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_MY_TRAINING_MENU
2023-02-12 19:47:34 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:47:34 ERROR TelegramMessageHandlerImpl:60 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:47:42 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:47:42 ERROR TelegramMessageHandlerImpl:60 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:47:44 ERROR TelegramMessageHandlerImpl:67 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 19:47:47 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:47:47 ERROR TelegramMessageHandlerImpl:60 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:47:50 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:47:50 ERROR TelegramMessageHandlerImpl:60 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:49:57 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:49:57 ERROR TelegramMessageHandlerImpl:56 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:56:33 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:56:33 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:57:23 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 19:57:35 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 19:58:06 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_MY_TRAINING_MENU
2023-02-12 19:58:16 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 19:58:16 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 19:58:19 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:02:13 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:02:13 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:06:15 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:14 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:42 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:42 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:44 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:44 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:46 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:46 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:48 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:48 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:50 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:50 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:51 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:51 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:53 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:08:53 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:08:55 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:00 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:03 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:04 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:04 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:05 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:06 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:06 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:07 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:08 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_ADD_WORKOUT_MENU
2023-02-12 20:09:12 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:09:12 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:09:14 ERROR TelegramMessageHandlerImpl:61 - com.develop.telegram.exceptions.UnsupportedBotStateException: Unsupported Bot State: SHOW_MY_TRAINING_MENU
2023-02-12 20:13:00 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:13:00 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:15:17 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:15:28 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:18:21 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:18:21 ERROR TelegramMessageHandlerImpl:58 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
2023-02-12 20:18:21 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:22:12 ERROR ShowWorkoutMenuKeyboardMarkup:67 - You don`t have workouts
2023-02-12 20:22:13 ERROR TelegramMessageHandlerImpl:57 - com.develop.telegram.exceptions.NotAddedWorkoutsException: You don`t have workouts
